2025-06-11 13:51:50,738 - INFO - [2025-06-11 13:51:50] Servidor escuchando en 0.0.0.0:65432...
2025-06-11 13:54:07,539 - INFO - [2025-06-11 13:54:07] Conectado por 192.168.1.4:52883
2025-06-11 14:12:11,554 - INFO - [2025-06-11 14:12:11.554] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-014
2025-06-11 14:12:11,554 - INFO - [2025-06-11 14:12:11.554] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-014
2025-06-11 14:12:12,578 - INFO - [2025-06-11 14:12:12.578] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-015
2025-06-11 14:12:12,578 - INFO - [2025-06-11 14:12:12.578] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-015
2025-06-11 14:12:13,602 - INFO - [2025-06-11 14:12:13.602] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-016
2025-06-11 14:12:13,602 - INFO - [2025-06-11 14:12:13.602] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-016
2025-06-11 14:12:14,626 - INFO - [2025-06-11 14:12:14.626] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-017
2025-06-11 14:12:14,627 - INFO - [2025-06-11 14:12:14.627] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-017
2025-06-11 14:12:15,650 - INFO - [2025-06-11 14:12:15.650] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-018
2025-06-11 14:12:15,650 - INFO - [2025-06-11 14:12:15.650] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-018
2025-06-11 14:12:16,673 - INFO - [2025-06-11 14:12:16.673] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-019
2025-06-11 14:12:16,674 - INFO - [2025-06-11 14:12:16.674] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-019
2025-06-11 14:12:17,677 - INFO - [2025-06-11 14:12:17.677] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-020
2025-06-11 14:12:17,678 - INFO - [2025-06-11 14:12:17.678] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-020
2025-06-11 14:12:18,722 - INFO - [2025-06-11 14:12:18.721] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-021
2025-06-11 14:12:18,722 - INFO - [2025-06-11 14:12:18.722] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-021
2025-06-11 14:12:19,745 - INFO - [2025-06-11 14:12:19.745] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-022
2025-06-11 14:12:19,746 - INFO - [2025-06-11 14:12:19.746] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-022
2025-06-11 14:12:20,769 - INFO - [2025-06-11 14:12:20.769] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-023
2025-06-11 14:12:20,770 - INFO - [2025-06-11 14:12:20.770] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-023
2025-06-11 14:12:21,793 - INFO - [2025-06-11 14:12:21.793] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-024
2025-06-11 14:12:21,793 - INFO - [2025-06-11 14:12:21.793] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-024
2025-06-11 14:12:22,818 - INFO - [2025-06-11 14:12:22.817] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-025
2025-06-11 14:12:22,818 - INFO - [2025-06-11 14:12:22.818] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-025
2025-06-11 14:12:23,841 - INFO - [2025-06-11 14:12:23.841] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-026
2025-06-11 14:12:23,841 - INFO - [2025-06-11 14:12:23.841] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-026
2025-06-11 14:12:24,865 - INFO - [2025-06-11 14:12:24.865] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-027
2025-06-11 14:12:24,866 - INFO - [2025-06-11 14:12:24.866] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-027
2025-06-11 14:12:25,870 - INFO - [2025-06-11 14:12:25.869] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-028
2025-06-11 14:12:25,870 - INFO - [2025-06-11 14:12:25.870] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-028
2025-06-11 14:12:26,873 - INFO - [2025-06-11 14:12:26.873] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-029
2025-06-11 14:12:26,874 - INFO - [2025-06-11 14:12:26.874] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-029
2025-06-11 14:12:27,878 - INFO - [2025-06-11 14:12:27.878] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-030
2025-06-11 14:12:27,879 - INFO - [2025-06-11 14:12:27.879] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-030
2025-06-11 14:12:28,883 - INFO - [2025-06-11 14:12:28.883] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-031
2025-06-11 14:12:28,883 - INFO - [2025-06-11 14:12:28.883] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-031
2025-06-11 14:12:29,984 - INFO - [2025-06-11 14:12:29.984] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-032
2025-06-11 14:12:29,985 - INFO - [2025-06-11 14:12:29.985] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-032
2025-06-11 14:12:31,008 - INFO - [2025-06-11 14:12:31.008] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-033
2025-06-11 14:12:31,008 - INFO - [2025-06-11 14:12:31.008] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-033
2025-06-11 14:12:32,013 - INFO - [2025-06-11 14:12:32.013] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-034
2025-06-11 14:12:32,014 - INFO - [2025-06-11 14:12:32.013] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-034
2025-06-11 14:12:33,018 - INFO - [2025-06-11 14:12:33.018] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-035
2025-06-11 14:12:33,018 - INFO - [2025-06-11 14:12:33.018] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-035
2025-06-11 14:12:34,081 - INFO - [2025-06-11 14:12:34.081] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-036
2025-06-11 14:12:34,081 - INFO - [2025-06-11 14:12:34.081] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-036
2025-06-11 14:12:35,104 - INFO - [2025-06-11 14:12:35.104] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-037
2025-06-11 14:12:35,104 - INFO - [2025-06-11 14:12:35.104] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-037
2025-06-11 14:12:36,128 - INFO - [2025-06-11 14:12:36.127] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-038
2025-06-11 14:12:36,128 - INFO - [2025-06-11 14:12:36.128] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-038
2025-06-11 14:12:37,152 - INFO - [2025-06-11 14:12:37.151] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-039
2025-06-11 14:12:37,152 - INFO - [2025-06-11 14:12:37.152] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-039
2025-06-11 14:12:38,176 - INFO - [2025-06-11 14:12:38.176] Recibido de 192.168.1.4:53580: Hola, soy el paquete Lenox Legends v2.0-040
2025-06-11 14:12:38,177 - INFO - [2025-06-11 14:12:38.177] Enviado a 192.168.1.4:53580: ACK: Hola, soy el paquete Lenox Legends v2.0-040
